name,V,P_d,K_face_mps,K_marg_mps,dr4_sigma_K_mps,dr4_snr_marg,dr4_verdict
HD 101767,8.883,486.0,1635.0,1421.0,10.0,140.6,DR4_DEFINITIVE
HD 140895,9.39,1460.0,2289.0,2025.0,13.0,158.7,DR4_DEFINITIVE
HD 140940,8.721,924.0,4288.0,3748.0,9.0,399.7,DR4_DEFINITIVE
BD+46 2473,8.968,496.0,1931.0,1978.0,11.0,188.2,DR4_DEFINITIVE
BD+35 228,9.076,560.0,1160.0,1036.0,11.0,93.8,DR4_DEFINITIVE
HIP 60865,12.086,501.0,1645.0,1439.0,44.0,32.6,DR4_DEFINITIVE
HIP 20122,13.485,255.0,2965.0,2687.0,84.0,31.9,DR4_DEFINITIVE
HD 76078,8.717,275.0,2058.0,2010.0,9.0,214.8,DR4_DEFINITIVE
BD+56 1762,10.027,197.0,2576.0,2276.0,17.0,133.0,DR4_DEFINITIVE
