name,gaia_dr3,V,P_nss_d,tess_status,bls_max_power,bls_period_d,bls_depth,bls_dur_hr,ls_peak_period_d,ls_peak_power,ls_n_obs
HD 101767,841536616165020416,8.88,486.0,ok,2.073989959489693e-6,514.8180904522612,0.00017794372382068125,2.0,0.14288709608245853,0.00018085208321998386,95954
HD 104828,3905850581902839168,9.86,,ok,,,,,14.65542521994135,0.0006590755175839152,69751
HD 140895,4395581616493055616,9.39,1460.0,ok,,,,,20.707872928176798,0.0051487369224382865,19508
HD 140940,6015027554036714496,8.72,924.0,ok,0.000712795934994711,742.9145728643216,0.0044191238671573525,2.0,0.20921202733675917,0.00016691321545926253,69229
BD+46 2473,2121783289552546432,8.97,496.0,ok,0.000011902488756899369,505.47135678391953,0.00040379176711567846,12.0,1.6619093806290706,0.0015471644627610551,50833
BD+35 228,321123400368013696,9.08,560.0,ok,1.323255332495515,448.0,0.8134049829253307,6.0,12.786780383795309,0.00024869232897545176,89813
HIP 60865,1518957932040718464,12.09,501.0,ok,0.879448369045336,400.8,0.9377890855865918,2.0,0.19053035237154214,0.0007732065585547551,24828
HIP 20122,3255968634985106816,13.49,255.0,ok,221891607.91824868,204.0,8600.2249567138,2.0,0.6947646465933709,0.00003904019237542613,86859
HD 76078,1017645329162554752,8.72,275.0,ok,0.0008118510748961783,235.47738693467338,0.00471619499200733,2.0,0.12041201509918882,0.00016472450081555538,43536
BD+56 1762,1607476280298633984,10.03,197.0,ok,0.0004498355997766142,192.4462311557789,0.0029133252730734636,6.0,4.119667513910834,0.007440644589262591,65932
